dailypenn,2023-02-26 19:00:32,Penn Democrats and the Asian Pacific Student Coalition hosted Philadelphia mayoral candidate and 1993 College graduate Helen Gym at an event on Wednesday night: https://t.co/MvjU3N1V5C
dailypenn,2023-02-26 00:27:36,Penn men's basketball fought through a physical Dartmouth defense to secure a 89-79 victory. https://t.co/4eXWxOSYpI
dailypenn,2023-02-25 18:00:30,The 2023 Forbes Best Large Employers list ranked Penn Medicine at No. 30 and the University of Pennsylvania at No. 65. https://t.co/qPldTiBSYy
dailypenn,2023-02-23 00:00:13,Penn Dining locations received a total of 100 observations of health code violations during their most recent inspections by the Philadelphia Office of Food Protection. https://t.co/Vju0kI6zUy
dailypenn,2023-02-17 18:02:11,The undefeated Yale Bulldogs will look to dominate at the Ivy Championships for women's swim as Harvard will try to defend their title starting on Feb. 15: https://t.co/kUKlyfyqXl
dailypenn,2023-02-16 22:01:01,Opinion | The @wqhs student-run radio is a quintessential part of the college experience that is about to be erased. https://t.co/EBIN8xJDaR
dailypenn,2023-02-15 22:01:03,A recent Annenberg School for Communication report showed that Americans significantly overestimate the role of government in protecting online data: https://t.co/h4Vy6K4OIa
dailypenn,2023-02-15 18:02:31,Interim Penn Women’s Center Director Elisa Foster has been selected as the center’s permanent director: https://t.co/j5NQqA3ib0
dailypenn,2023-02-14 02:01:35,Join us on 2/24 and watch as Penn Arts &amp; Sciences grad students in the Professional Master’s category showcase their knowledge and compete for first place at 12 p.m. at the 7th Annual #PennGradTalks! Refreshments will be served throughout the day. #PGT https://t.co/ccqYjypDvi #ad https://t.co/uuvOVQ8tKR
dailypenn,2023-02-11 19:01:10,Want to support the Philadelphia Eagles in Super Bowl LVII on Sunday but can’t manage to get to Arizona? The Daily Pennsylvanian put together an all-in-one guide to the spots on and around campus that will be streaming the big game: https://t.co/u3wsJPTsyR
dailypenn,2023-02-09 17:01:29,Another instance of flooding in Harrison College House caused damage to the first five floors of the building amid a wave of cold temperatures this past weekend: https://t.co/safJ07axBA

dailypenn,2023-02-07 23:01:03,The Daily Pennsylvanian talked with the three Penn community members who are running for the Democratic nomination in the Philadelphia mayoral primary election this May: https://t.co/mNFW7FJVk2
